regime,regime_label,family,seed,estimator,n_particles,k,curvature_proxy,c3,c4,g2,gamma6,kappa,g3_estem,selector_branch,fallback_reason,density_bias,density_variance,density_mse,mse_ratio_vs_mle,raw_mle_mse,raw_pmm2_mse,raw_pmm3_mse,note
flat_exp,Flat Exp(1),exponential,11,Plugin_Estimator,900,16,0.0,1.962510347366333,5.557228088378906,0.490362495550125,108.06059265136719,32.52473449707031,0.8117773532867432,MLE_fallback,flat_Exp1_MLE_is_reference,0.061330245666307015,0.07788059597746717,0.08155546101542623,1.0000000624402834,0.08155545592308044,0.04446091502904892,0.08155545592308044,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,11,k_Ensemble,900,16,0.0,1.962510347366333,5.557228088378906,0.490362495550125,108.06059265136719,32.52473449707031,0.8117773532867432,MLE_fallback,flat_Exp1_MLE_is_reference,0.07208856772138143,0.06944165957302066,0.07456126376961528,0.9142400459380451,0.08155545592308044,0.04446091502904892,0.08155545592308044,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,11,MLE_Exp,900,16,0.0,1.962510347366333,5.557228088378906,0.490362495550125,108.06059265136719,32.52473449707031,0.8117773532867432,MLE_fallback,flat_Exp1_MLE_is_reference,0.061330245799488495,0.07788059457702294,0.08155545963287415,1.0000000454879894,0.08155545592308044,0.04446091502904892,0.08155545592308044,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,11,PMM2/MLE,900,16,0.0,1.962510347366333,5.557228088378906,0.490362495550125,108.06059265136719,32.52473449707031,0.8117773532867432,MLE_fallback,flat_Exp1_MLE_is_reference,0.061330245799488495,0.07788059457702294,0.08155545963287415,1.0000000454879894,0.08155545592308044,0.04446091502904892,0.08155545592308044,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,17,Plugin_Estimator,900,16,0.0,1.9514421224594116,5.689746856689453,0.5047787101084955,147.44190979003906,38.96818161010742,0.8418117761611938,MLE_fallback,flat_Exp1_MLE_is_reference,0.0684911856914449,0.07148527923918163,0.07609689366855808,1.0000000172370445,0.07609689235687256,0.042747873812913895,0.07609689235687256,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,17,k_Ensemble,900,16,0.0,1.9514421224594116,5.689746856689453,0.5047787101084955,147.44190979003906,38.96818161010742,0.8418117761611938,MLE_fallback,flat_Exp1_MLE_is_reference,0.08641068209546642,0.0652801338092879,0.07267440630748134,0.9550246279001678,0.07609689235687256,0.042747873812913895,0.07609689235687256,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,17,MLE_Exp,900,16,0.0,1.9514421224594116,5.689746856689453,0.5047787101084955,147.44190979003906,38.96818161010742,0.8418117761611938,MLE_fallback,flat_Exp1_MLE_is_reference,0.0684911890162362,0.07148527935209732,0.07609689423678612,1.0000000247042093,0.07609689235687256,0.042747873812913895,0.07609689235687256,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,17,PMM2/MLE,900,16,0.0,1.9514421224594116,5.689746856689453,0.5047787101084955,147.44190979003906,38.96818161010742,0.8418117761611938,MLE_fallback,flat_Exp1_MLE_is_reference,0.0684911890162362,0.07148527935209732,0.07609689423678612,1.0000000247042093,0.07609689235687256,0.042747873812913895,0.07609689235687256,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,23,Plugin_Estimator,900,16,0.0,2.054847240447998,6.275422096252441,0.48976654816327947,152.3168487548828,37.228065490722656,0.8166584968566895,MLE_fallback,flat_Exp1_MLE_is_reference,0.08417931648123349,0.09046464127927485,0.09745028233443444,0.9999998843910636,0.09745029360055923,0.05589928850531578,0.09745029360055923,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,23,k_Ensemble,900,16,0.0,2.054847240447998,6.275422096252441,0.48976654816327947,152.3168487548828,37.228065490722656,0.8166584968566895,MLE_fallback,flat_Exp1_MLE_is_reference,0.09617125834110542,0.08749967561105926,0.09665136468018083,0.9918016776465226,0.09745029360055923,0.05589928850531578,0.09745029360055923,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,23,MLE_Exp,900,16,0.0,2.054847240447998,6.275422096252441,0.48976654816327947,152.3168487548828,37.228065490722656,0.8166584968566895,MLE_fallback,flat_Exp1_MLE_is_reference,0.08417931622929044,0.09046464243838065,0.09745028344983553,0.99999989583691,0.09745029360055923,0.05589928850531578,0.09745029360055923,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,23,PMM2/MLE,900,16,0.0,2.054847240447998,6.275422096252441,0.48976654816327947,152.3168487548828,37.228065490722656,0.8166584968566895,MLE_fallback,flat_Exp1_MLE_is_reference,0.08417931622929044,0.09046464243838065,0.09745028344983553,0.99999989583691,0.09745029360055923,0.05589928850531578,0.09745029360055923,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,31,Plugin_Estimator,900,16,0.0,1.9783672094345093,5.557153701782227,0.48208849921331465,105.14643859863281,32.000633239746094,0.808378279209137,MLE_fallback,flat_Exp1_MLE_is_reference,0.06726434319936928,0.08173166942364238,0.08616534832365864,1.0000000245855696,0.08616534620523453,0.04703706502914429,0.08616534620523453,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,31,k_Ensemble,900,16,0.0,1.9783672094345093,5.557153701782227,0.48208849921331465,105.14643859863281,32.000633239746094,0.808378279209137,MLE_fallback,flat_Exp1_MLE_is_reference,0.0835316601410875,0.07113566799383518,0.07803416660865706,0.9056328332133655,0.08616534620523453,0.04703706502914429,0.08616534620523453,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,31,MLE_Exp,900,16,0.0,1.9783672094345093,5.557153701782227,0.48208849921331465,105.14643859863281,32.000633239746094,0.808378279209137,MLE_fallback,flat_Exp1_MLE_is_reference,0.06726434038745033,0.08173166888237934,0.08616534740471325,1.0000000139206628,0.08616534620523453,0.04703706502914429,0.08616534620523453,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,31,PMM2/MLE,900,16,0.0,1.9783672094345093,5.557153701782227,0.48208849921331465,105.14643859863281,32.000633239746094,0.808378279209137,MLE_fallback,flat_Exp1_MLE_is_reference,0.06726434038745033,0.08173166888237934,0.08616534740471325,1.0000000139206628,0.08616534620523453,0.04703706502914429,0.08616534620523453,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,43,Plugin_Estimator,900,16,0.0,1.8640447854995728,5.040311813354492,0.5064617797528235,115.87641906738281,36.180335998535156,0.8480932712554932,MLE_fallback,flat_Exp1_MLE_is_reference,0.07341898842413634,0.08452537584137658,0.08982180661833186,0.9999999841707684,0.08982180804014206,0.04892627149820328,0.08982180804014206,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,43,k_Ensemble,900,16,0.0,1.8640447854995728,5.040311813354492,0.5064617797528235,115.87641906738281,36.180335998535156,0.8480932712554932,MLE_fallback,flat_Exp1_MLE_is_reference,0.08017852431365974,0.06851919146185581,0.07487165478801432,0.8335576450938684,0.08982180804014206,0.04892627149820328,0.08982180804014206,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,43,MLE_Exp,900,16,0.0,1.8640447854995728,5.040311813354492,0.5064617797528235,115.87641906738281,36.180335998535156,0.8480932712554932,MLE_fallback,flat_Exp1_MLE_is_reference,0.07341898798942566,0.08452537606696892,0.0898218067798415,0.9999999859688801,0.08982180804014206,0.04892627149820328,0.08982180804014206,flat homogeneous control; Plugin/MLE is the target selector
flat_exp,Flat Exp(1),exponential,43,PMM2/MLE,900,16,0.0,1.8640447854995728,5.040311813354492,0.5064617797528235,115.87641906738281,36.180335998535156,0.8480932712554932,MLE_fallback,flat_Exp1_MLE_is_reference,0.07341898798942566,0.08452537606696892,0.0898218067798415,0.9999999859688801,0.08982180804014206,0.04892627149820328,0.08982180804014206,flat homogeneous control; Plugin/MLE is the target selector
mild_curved_gamma,Mild curved gamma,gamma_mild,11,Plugin_Estimator,900,16,0.35,2.5162670612335205,10.58206844329834,0.49677591152977596,632.89306640625,72.37505340576172,0.8474657535552979,PMM2,PMM2_valid_asymmetric_spacing_regime,0.10037476712964674,0.1314777657359485,0.14140677320590603,0.9999998853228388,0.14140678942203522,0.090865857899189,0.14140678942203522,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,11,k_Ensemble,900,16,0.35,2.5162670612335205,10.58206844329834,0.49677591152977596,632.89306640625,72.37505340576172,0.8474657535552979,PMM2,PMM2_valid_asymmetric_spacing_regime,0.13251800090985366,0.1314108890723202,0.14882589753849496,1.052466420790568,0.14140678942203522,0.090865857899189,0.14140678942203522,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,11,MLE_Exp,900,16,0.35,2.5162670612335205,10.58206844329834,0.49677591152977596,632.89306640625,72.37505340576172,0.8474657535552979,PMM2,PMM2_valid_asymmetric_spacing_regime,0.10037476993269391,0.1314777665302221,0.14140677456200756,0.9999998949129125,0.14140678942203522,0.090865857899189,0.14140678942203522,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,11,PMM2/MLE,900,16,0.35,2.5162670612335205,10.58206844329834,0.49677591152977596,632.89306640625,72.37505340576172,0.8474657535552979,PMM2,PMM2_valid_asymmetric_spacing_regime,0.0813298362493515,0.08434503124557013,0.0908658568085325,0.6425848234015064,0.14140678942203522,0.090865857899189,0.14140678942203522,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,17,Plugin_Estimator,900,16,0.35,2.4533486366271973,9.89087200164795,0.4938201729859367,567.840087890625,70.01716613769531,0.8524129390716553,PMM2,PMM2_valid_asymmetric_spacing_regime,0.09391451729015406,0.15059169651314241,0.15924430896374825,1.0000000629775245,0.15924429893493652,0.09940877556800842,0.15924429893493652,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,17,k_Ensemble,900,16,0.35,2.4533486366271973,9.89087200164795,0.4938201729859367,567.840087890625,70.01716613769531,0.8524129390716553,PMM2,PMM2_valid_asymmetric_spacing_regime,0.10958395989050944,0.13304132029255689,0.14490214086862768,0.9099361285632668,0.15924429893493652,0.09940877556800842,0.15924429893493652,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,17,MLE_Exp,900,16,0.35,2.4533486366271973,9.89087200164795,0.4938201729859367,567.840087890625,70.01716613769531,0.8524129390716553,PMM2,PMM2_valid_asymmetric_spacing_regime,0.09391451560788684,0.15059169403712985,0.15924430617450816,1.000000045462046,0.15924429893493652,0.09940877556800842,0.15924429893493652,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,17,PMM2/MLE,900,16,0.35,2.4533486366271973,9.89087200164795,0.4938201729859367,567.840087890625,70.01716613769531,0.8524129390716553,PMM2,PMM2_valid_asymmetric_spacing_regime,0.07206051833099789,0.09432085308700262,0.09940877044126024,0.6242532455235734,0.15924429893493652,0.09940877556800842,0.15924429893493652,moderate asymmetric misspecification
mild_curved_gamma,Mild curved gamma,gamma_mild,23,Plugin_Estimator,900,16,0.35,2.406123399734497,8.519033432006836,0.44962340388290045,251.53631591796875,42.230716705322266,0.7828478813171387,PMM2,PMM2_valid_asymmetric_spacing_regime,0.10378676361129853,0.13035250017911468,0.14097935636871212,0.9999999422210563,0.1409793645143509,0.08426696807146072,0.1409793645143509,moderate asymmetric misspecification
