law,seed,n_panels,k,estimator,gamma3,gamma4,gamma6,g3,kappa,mean_bias,mean_variance,mean_mse,density_bias,density_variance,density_mse,convergence_rate,guard_accept_rate,mean_iterations
uniform_0_2,11,6000,8,mean_mle,0.0018038902371035187,-1.2021324472019155,6.880150416379422,0.29881048228233287,0.4296950331967386,-8.289665250534503e-17,0.042634972151483264,0.042627866322791357,0.049671082033965724,0.06627740062818463,0.06873357078517156,1.0,1.0,0.0
uniform_0_2,11,6000,8,pmm3_location_raw,0.0018038902371035187,-1.2021324472019155,6.880150416379422,0.29881048228233287,0.4296950331967386,-0.004614442487425498,0.032959976561534224,0.03297577631157706,0.052088467857011794,0.09622263595194722,0.0989198073296462,0.9856666666666667,1.0,4.653666666666667
uniform_0_2,11,6000,8,pmm3_location_guarded,0.0018038902371035187,-1.2021324472019155,6.880150416379422,0.29881048228233287,0.4296950331967386,-0.001818262377713317,0.029284621608552462,0.029283046916358576,0.038754385565397315,0.059774063550708856,0.06126600360733521,0.9856666666666667,0.942,4.653666666666667
uniform_0_2,17,6000,8,mean_mle,0.017674260430659488,-1.1942381108705187,6.799382396568692,0.30471076835994637,0.4315711752370783,4.6037248087789826e-17,0.041894177348607176,0.04188719498571574,0.04880611164814127,0.06376580080994712,0.06613720971068963,1.0,1.0,0.0
uniform_0_2,17,6000,8,pmm3_location_raw,0.017674260430659488,-1.1942381108705187,6.799382396568692,0.30471076835994637,0.4315711752370783,0.0006462519774107229,0.0315657058279689,0.03156086251861588,0.044075595334906625,0.0974792472386335,0.09940565880155351,0.9901666666666666,1.0,4.435833333333333
uniform_0_2,17,6000,8,pmm3_location_guarded,0.017674260430659488,-1.1942381108705187,6.799382396568692,0.30471076835994637,0.4315711752370783,0.001267924067847237,0.028508442926758193,0.028505299151045563,0.03344575417413282,0.049987188289954285,0.05109747556418248,0.9901666666666666,0.9483333333333334,4.435833333333333
uniform_0_2,23,6000,8,mean_mle,0.012886642433206705,-1.2053513290899691,6.914298449687518,0.29681711006843836,0.4321914777794234,-8.807769328692909e-17,0.042148277768494155,0.04214125305553275,0.048319053729281365,0.06163339806936507,0.06395785678964669,1.0,1.0,0.0
uniform_0_2,23,6000,8,pmm3_location_raw,0.012886642433206705,-1.2053513290899691,6.914298449687518,0.29681711006843836,0.4321914777794234,0.0022806657345425616,0.029346668377280793,0.029346978702077295,0.03440380542813665,0.058887453140006596,0.06006126039242034,0.9916666666666667,1.0,4.34
uniform_0_2,23,6000,8,pmm3_location_guarded,0.012886642433206705,-1.2053513290899691,6.914298449687518,0.29681711006843836,0.4321914777794234,0.004074808749680974,0.02795388197632019,0.02796582706233728,0.028568436164926776,0.045338973088482615,0.04614757213787735,0.9916666666666667,0.9471666666666667,4.34
uniform_0_2,31,6000,8,mean_mle,-0.0032320154726738375,-1.185399571686799,6.7131958190543735,0.31273971990156724,0.4188599233994687,-2.5461114698070257e-17,0.041971804518020815,0.04196480921726781,0.04787927152699187,0.06053302051961454,0.06281535632481669,1.0,1.0,0.0
