"law","n","M","method","gamma3","gamma4","gamma6","g3_theory","bias","variance","mse","var_ratio_vs_ols","are_vs_ols","convergence_rate"
"normal",50,300,"OLS",0.0146058112988649,-0.141951635047575,0.155744034803313,0.995869305867325,0.019624167298889,0.0490031672616679,0.0492249313129705,1,1,1
"normal",50,300,"PMM3",0.0146058112988649,-0.141951635047575,0.155744034803313,0.995869305867325,0.0206515969919905,0.0503194332432323,0.0505781902574078,1.02686083482188,0.973841796365195,1
"normal",100,300,"OLS",0.00638526396168241,-0.0451064663430989,-0.0170598418837393,0.999635180224684,-0.0072663571714311,0.0333383797627992,0.0332800517767993,1,1,1
"normal",100,300,"PMM3",0.00638526396168241,-0.0451064663430989,-0.0170598418837393,0.999635180224684,-0.00566902716528139,0.0351384575575042,0.0350534672346465,1.05399415950962,0.948771860809224,1
"normal",200,300,"OLS",-0.00409507153534684,-0.00381880020310899,-0.140510603735809,0.999997496492003,0.00930699274353524,0.015586558425897,0.0156212233450722,1,1,1
"normal",200,300,"PMM3",-0.00409507153534684,-0.00381880020310899,-0.140510603735809,0.999997496492003,0.00788736406859313,0.0161338429627053,0.0161422739981135,1.03511259649846,0.966078476276647,1
"triangular",50,300,"OLS",-0.000734487496833287,-0.598511999550008,1.90350905631004,0.857675528352268,-0.000679458869977921,0.060757683219164,0.0605556192727895,1,1,1
"triangular",50,300,"PMM3",-0.000734487496833287,-0.598511999550008,1.90350905631004,0.857675528352268,-0.00888562300763255,0.0600566639569811,0.0599354293733582,0.988462047513328,1.01167263074561,1
"triangular",100,300,"OLS",0.000271127097289228,-0.613682217923328,1.9072263626519,0.842033466411573,0.0142485407290531,0.0314349633681328,0.0315332010698132,1,1,1
"triangular",100,300,"PMM3",0.000271127097289228,-0.613682217923328,1.9072263626519,0.842033466411573,0.0121483612812473,0.0302319849199323,0.0302787943186856,0.961731196117123,1.03979158005624,1
"triangular",200,300,"OLS",-0.00576798829145159,-0.602961747555903,1.77100482575882,0.844919483466129,0.00177895347775841,0.013721022309606,0.01367845024405,1,1,1
"triangular",200,300,"PMM3",-0.00576798829145159,-0.602961747555903,1.77100482575882,0.844919483466129,0.00575111334849427,0.0117973245552986,0.0117910754448615,0.859799240107594,1.16306220493386,1
"uniform",50,300,"OLS",0.00779035114724039,-1.1604304508992,6.55830871809161,0.363140012387593,-0.0134668679336282,0.0704783204798385,0.0704247492768475,1,1,1
"uniform",50,300,"PMM3",0.00779035114724039,-1.1604304508992,6.55830871809161,0.363140012387593,-0.00783831365912814,0.0314199754403005,0.0313766813498517,0.445810502100269,2.2431055241832,1
"uniform",100,300,"OLS",-0.0109500003663588,-1.17882392698579,6.71065223395216,0.33866292909033,-0.0115100531873254,0.0312436336268755,0.0312719695058276,1,1,1
"uniform",100,300,"PMM3",-0.0109500003663588,-1.17882392698579,6.71065223395216,0.33866292909033,-0.00784846264909786,0.0108989082332119,0.0109241769050554,0.348836129733538,2.86667553835052,1
