benchmark,benchmark_label,seed,estimator,n_particles,k,tau,w2_sq_proxy,kl_pairwise,max_slack,component_loss,missing_fraction,wallclock_sec,selector_branch,c3,c4,protocol
seven_lobes,Seven lobes,11,Plugin_Estimator,220,12,0.25,0.004936414381376917,0.028875802149102146,0.0,0,0.0,0.0030945829930715263,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,k_Ensemble,220,12,0.25,0.004886886794409183,0.018006895895342052,0.0,0,0.0,0.0027930409996770322,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,MLE_Exp,220,12,0.25,0.004936414381376917,0.028875802149102146,0.0,0,0.0,0.00272433296777308,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,PMM2/MLE,220,12,0.25,0.00488514172606999,0.03446744269473605,0.0,0,0.0,0.002965583000332117,PMM2,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,220,12,0.25,0.004099141514810432,0.011530371587319135,0.0,0,0.0,0.00283220800338313,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,k_Ensemble,220,12,0.25,0.004031948059631877,0.008642698489012496,0.0,0,0.0,0.0029076249920763075,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,MLE_Exp,220,12,0.25,0.004099141514810432,0.011530371587319135,0.0,0,0.0,0.006268041965086013,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,PMM2/MLE,220,12,0.25,0.003944049646927524,0.024901764627965044,0.0,0,0.0,0.004587374976836145,PMM2,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,220,12,0.25,0.0036431803001330046,0.015379949082667058,0.0,0,0.0,0.002938500023446977,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,k_Ensemble,220,12,0.25,0.003614070033898017,0.021995313106577184,0.0,0,0.0,0.0032308329828083515,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,MLE_Exp,220,12,0.25,0.0036431803001330046,0.015379949082667058,0.0,0,0.0,0.0028464579954743385,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,PMM2/MLE,220,12,0.25,0.0035996203144797625,0.02751035397148146,0.0,0,0.0,0.003080541966482997,PMM2,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,Plugin_Estimator,220,12,0.25,0.00546816941737996,0.011067113349106913,0.0,0,0.0,0.002917708014138043,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,k_Ensemble,220,12,0.25,0.0054183286138383005,0.01128121229304889,0.0,0,0.0,0.0028152919840067625,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,MLE_Exp,220,12,0.25,0.00546816941737996,0.011067113349106913,0.0,0,0.0,0.002668541972525418,not_applicable,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,31,PMM2/MLE,220,12,0.25,0.005395437474488993,0.019734662958814264,0.0,0,0.0,0.0031079589971341193,PMM2,13.33133316040039,181.7740936279297,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,Plugin_Estimator,220,12,0.25,0.003545919927391178,0.013793856607520121,0.0,0,0.0,0.0028477919986471534,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,k_Ensemble,220,12,0.25,0.0034989580795831694,0.021087228381981942,0.0,0,0.0,0.003042625030502677,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,MLE_Exp,220,12,0.25,0.003545919927391178,0.013793856607520121,0.0,0,0.0,0.002803458017297089,not_applicable,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,43,PMM2/MLE,220,12,0.25,0.003429664422426435,0.03641547198091896,0.0,0,0.0,0.003050291968975216,PMM2,12.347408294677734,155.94508361816406,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,Plugin_Estimator,220,12,0.5,0.005126476411990346,0.034949805233173634,0.0,0,0.0,0.0028663339908234775,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,k_Ensemble,220,12,0.5,0.005002093360809826,0.01302280629975891,0.0,0,0.0,0.0027573330444283783,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,MLE_Exp,220,12,0.5,0.005126476411990346,0.034949805233173634,0.0,0,0.0,0.0029547499725595117,not_applicable,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,11,PMM2/MLE,220,12,0.5,0.004937478438740648,0.03477295032132034,0.0,0,0.0,0.0030655000009573996,PMM2,13.377318382263184,192.02072143554688,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,Plugin_Estimator,220,12,0.5,0.004380927400210587,0.031018110352385442,0.0,0,0.0,0.0028980000060983002,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,k_Ensemble,220,12,0.5,0.004231417060786019,0.013201810637192599,0.0,0,0.0,0.0029269169899635017,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,MLE_Exp,220,12,0.5,0.004380927400210587,0.031018110352385442,0.0,0,0.0,0.0028245830326341093,not_applicable,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,17,PMM2/MLE,220,12,0.5,0.004052964788268538,0.035048087371848245,0.0,0,0.0,0.0032842079526744783,PMM2,11.78370475769043,142.00424194335938,tau_sweep_resampling_proxy
seven_lobes,Seven lobes,23,Plugin_Estimator,220,12,0.5,0.0037857813093951803,0.007959581304289306,0.0,0,0.0,0.0028921669581905007,not_applicable,13.033973693847656,177.2298583984375,tau_sweep_resampling_proxy
